Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,volumechange,Volume,Bid,Return on Equity (ROE) - Current (Annual),Ask,High,Low,Market Cap
CBSH,COMMERCE BANCSHARES INC COM,48.92,-1.06,-2.12%,40.66,"654,872",44.00,16.398,78.28,50.56,48.115,"6,101 M"
MRTN,MARTEN TRANSPORT COM,20.48,+.03,+0.15%,-12.24,"255,719",20.16,16.281,20.99,20.63,20.185,"1,664 M"
LOVE,LOVESAC COMPANY COM,28.36,-.40,-1.39%,5.69,"184,571",28.23,16.162,28.36,29.06,28.1241,432 M
OSW,ONESPAWORLD HOLDINGS LIMITED COM,11.35,-.36,-3.07%,16.14,"428,177",11.45,16.116,12.00,11.75,11.26,"1,150 M"
FLO,FLOWERS FOODS INC COM,24.18,-.05,-0.21%,-12.96,"1,703,928",24.02,16.002,24.34,24.30,23.94,"5,122 M"
NJR,NEW JERSEY RESOURCES CORP COM,46.17,-.60,-1.28%,-25.8,"526,919",45.84,15.946,46.50,46.64,45.84,"4,477 M"
BRC,BRADY CORP COM CL A,47.64,-.06,-0.13%,-22.72,"364,656",47.31,15.917,47.96,47.87,46.96,"2,356 M"
ITOS,ITEOS THERAPEUTICS INC COM,13.74,-.17,-1.22%,-15.13,"96,197",13.65,15.895,14.42,14.02,13.46,491 M
PRG,PROG HOLDINGS INC COM,32.92,+.05,+0.15%,5.26,"202,126",32.55,15.795,33.29,32.97,32.19,"1,539 M"
TX,TERNIUM SA ADR,43.79,+.07,+0.16%,26.53,"223,717",43.55,15.795,44.05,43.89,43.125,"8,596 M"
OFG,OFG BANCORP COM,28.26,-.15,-0.53%,-9.84,"195,549",27.35,15.746,29.87,28.695,28.14,"1,343 M"
DOCS,DOXIMITY INC COM CL A,35.35,+.22,+0.63%,-58.91,"1,038,728",34.51,12.232,38.90,35.49,34.755,"6,885 M"
SWBI,SMITH AND WESSON BRANDS INC COM,13.15,-.18,-1.35%,-0.19,"287,903",13.00,9.8978,13.15,13.33,12.99,606 M
CDMO,AVID BIOSERVICES INC COM,13.23,-.14,-1.05%,18.7,"402,040",12.57,.3077,13.93,13.52,13.125,830 M
